19.018 14.303 7.541 90.0 90.0 90.0
3.0 0.0 0.0
0.0 3.0 0.0
0.0 0.0 3.0
0.3201 0.0918 0.2501 O
0.6799 0.9082 0.7499 O
0.6799 0.9082 0.2501 O
0.3201 0.0918 0.7499 O
0.6799 0.0918 0.7499 O
0.3201 0.9082 0.2501 O
0.3201 0.9082 0.7499 O
0.6799 0.0918 0.2501 O
0.8201 0.5918 0.7501 O
0.1799 0.4082 0.2499 O
0.1799 0.4082 0.7501 O
0.8201 0.5918 0.2499 O
0.1799 0.5918 0.2499 O
0.8201 0.4082 0.7501 O
0.8201 0.4082 0.2499 O
0.1799 0.5918 0.7501 O
0.3848 0.2493 0.3257 O
0.6152 0.7507 0.6743 O
0.6152 0.7507 0.3257 O
0.3848 0.2493 0.6743 O
0.6152 0.2493 0.6743 O
0.3848 0.7507 0.3257 O
0.3848 0.7507 0.6743 O
0.6152 0.2493 0.3257 O
0.8848 0.7493 0.8257 O
0.1152 0.2507 0.1743 O
0.1152 0.2507 0.8257 O
0.8848 0.7493 0.1743 O
0.1152 0.7493 0.1743 O
0.8848 0.2507 0.8257 O
0.8848 0.2507 0.1743 O
0.1152 0.7493 0.8257 O
0.3429 0.2162 0.0 O
0.6571 0.7838 0.0 O
0.6571 0.2162 0.0 O
0.3429 0.7838 0.0 O
0.8429 0.7162 0.5 O
0.1571 0.2838 0.5 O
0.1571 0.7162 0.5 O
0.8429 0.2838 0.5 O
0.25 0.25 0.25 O
0.75 0.75 0.75 O
0.75 0.75 0.25 O
0.25 0.25 0.75 O
0.75 0.25 0.75 O
0.25 0.75 0.25 O
0.25 0.75 0.75 O
0.75 0.25 0.25 O
0.1063 0.0918 0.0 O
0.8937 0.9082 0.0 O
0.8937 0.0918 0.0 O
0.1063 0.9082 0.0 O
0.6063 0.5918 0.5 O
0.3937 0.4082 0.5 O
0.3937 0.5918 0.5 O
0.6063 0.4082 0.5 O
0.0 0.2094 0.0 O
0.0 0.7906 0.0 O
0.5 0.7094 0.5 O
0.5 0.2906 0.5 O
0.2041 0.0 0.1743 O
0.7959 0.0 0.8257 O
0.7959 0.0 0.1743 O
0.2041 0.0 0.8257 O
0.7041 0.5 0.6743 O
0.2959 0.5 0.3257 O
0.2959 0.5 0.6743 O
0.7041 0.5 0.3257 O
0.2529 0.0 0.5 O
0.7471 0.0 0.5 O
0.7529 0.5 0.0 O
0.2471 0.5 0.0 O
0.3244 0.2018 0.2064 Si
0.6756 0.7982 0.7936 Si
0.6756 0.7982 0.2064 Si
0.3244 0.2018 0.7936 Si
0.6756 0.2018 0.7936 Si
0.3244 0.7982 0.2064 Si
0.3244 0.7982 0.7936 Si
0.6756 0.2018 0.2064 Si
0.8244 0.7018 0.7064 Si
0.1756 0.2982 0.2936 Si
0.1756 0.2982 0.7064 Si
0.8244 0.7018 0.2936 Si
0.1756 0.7018 0.2936 Si
0.8244 0.2982 0.7064 Si
0.8244 0.2982 0.2936 Si
0.1756 0.7018 0.7064 Si
0.0843 0.2004 0.0 Si
0.9157 0.7996 0.0 Si
0.9157 0.2004 0.0 Si
0.0843 0.7996 0.0 Si
0.5843 0.7004 0.5 Si
0.4157 0.2996 0.5 Si
0.4157 0.7004 0.5 Si
0.5843 0.2996 0.5 Si
0.2743 0.0 0.2935 Si
0.7257 0.0 0.7065 Si
0.7257 0.0 0.2935 Si
0.2743 0.0 0.7065 Si
0.7743 0.5 0.7935 Si
0.2257 0.5 0.2065 Si
0.2257 0.5 0.7935 Si
0.7743 0.5 0.2065 Si
0.1553 0.0 0.0 Si
0.8447 0.0 0.0 Si
0.6553 0.5 0.5 Si
0.3447 0.5 0.5 Si
0.1152 0.2507 1.1743 O
0.8848 0.7493 1.1743 O
0.8848 0.2507 1.1743 O
0.1152 0.7493 1.1743 O
0.3201 1.0918 0.2501 O
0.6799 1.0918 0.7499 O
0.6799 1.0918 0.2501 O
0.3201 1.0918 0.7499 O
0.2041 0.0 1.1743 O
0.1063 1.0918 0.0 O
0.7959 0.0 1.1743 O
0.8937 1.0918 0.0 O
1.3201 0.0918 0.2501 O
1.6799 0.9082 0.7499 O
1.6799 0.9082 0.2501 O
1.3201 0.0918 0.7499 O
1.6799 0.0918 0.7499 O
1.3201 0.9082 0.2501 O
1.3201 0.9082 0.7499 O
1.6799 0.0918 0.2501 O
1.8201 0.5918 0.7501 O
1.1799 0.4082 0.2499 O
